,Category,Rating,Reviews,Size,Installs,Type,Price,Genres
56,AUTO_AND_VEHICLES,4.4,805,5.6M,"50,000+",Free,0,Auto & Vehicles
57,AUTO_AND_VEHICLES,4.2,129,54M,"100,000+",Free,0,Auto & Vehicles
58,AUTO_AND_VEHICLES,4,1403,0.201,"100,000+",Free,0,Auto & Vehicles
59,AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000+",Free,0,Auto & Vehicles
60,AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000+",Free,0,Auto & Vehicles
61,AUTO_AND_VEHICLES,4.9,7774,17M,"100,000+",Free,0,Auto & Vehicles
62,AUTO_AND_VEHICLES,4.3,38846,8.6M,"1,000,000+",Free,0,Auto & Vehicles
63,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",Free,0,Auto & Vehicles
64,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",Free,0,Auto & Vehicles
65,AUTO_AND_VEHICLES,3.9,295,2.7M,"10,000+",Free,0,Auto & Vehicles
66,AUTO_AND_VEHICLES,4,190,2.5M,"50,000+",Free,0,Auto & Vehicles
67,AUTO_AND_VEHICLES,4.3,40211,,"5,000,000+",Free,0,Auto & Vehicles
68,AUTO_AND_VEHICLES,3.9,356,,"100,000+",Free,0,Auto & Vehicles
69,AUTO_AND_VEHICLES,4.2,52530,7.0M,"5,000,000+",Free,0,Auto & Vehicles
70,AUTO_AND_VEHICLES,4.8,116986,35M,"5,000,000+",Free,0,Auto & Vehicles
71,AUTO_AND_VEHICLES,3.6,1379,16M,"500,000+",Free,0,Auto & Vehicles
72,AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",Free,0,Auto & Vehicles
73,AUTO_AND_VEHICLES,4.8,736,,"100,000+",Free,0,Auto & Vehicles
74,AUTO_AND_VEHICLES,4.8,7021,17M,"500,000+",Free,0,Auto & Vehicles
75,AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000+",Free,0,Auto & Vehicles
76,AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000+",Free,0,Auto & Vehicles
77,AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000+",Free,0,Auto & Vehicles
78,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",Free,0,Auto & Vehicles
79,AUTO_AND_VEHICLES,4.9,197136,38M,"1,000,000+",Free,0,Auto & Vehicles
80,AUTO_AND_VEHICLES,3.9,142,32M,"50,000+",Free,0,Auto & Vehicles
81,AUTO_AND_VEHICLES,4.4,15168,37M,"1,000,000+",Free,0,Auto & Vehicles
82,AUTO_AND_VEHICLES,4,2155,15M,"500,000+",Free,0,Auto & Vehicles
83,AUTO_AND_VEHICLES,4.3,138,5.4M,"100,000+",Free,0,Auto & Vehicles
84,AUTO_AND_VEHICLES,3.7,5414,18M,"1,000,000+",Free,0,Auto & Vehicles
85,AUTO_AND_VEHICLES,4.4,21777,,"1,000,000+",Free,0,Auto & Vehicles
86,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0,Auto & Vehicles
87,AUTO_AND_VEHICLES,3.2,250,1.1M,"100,000+",Free,0,Auto & Vehicles
88,AUTO_AND_VEHICLES,4.6,13372,,"1,000,000+",Free,0,Auto & Vehicles
89,AUTO_AND_VEHICLES,4.6,7880,,"100,000+",Free,0,Auto & Vehicles
90,AUTO_AND_VEHICLES,4.5,3617,7.9M,"100,000+",Free,0,Auto & Vehicles
91,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",Free,0,Auto & Vehicles
92,AUTO_AND_VEHICLES,4.6,65786,,"1,000,000+",Free,0,Auto & Vehicles
93,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",Free,0,Auto & Vehicles
94,AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000+",Free,0,Auto & Vehicles
95,AUTO_AND_VEHICLES,4,1754,14M,"500,000+",Free,0,Auto & Vehicles
96,AUTO_AND_VEHICLES,4.4,2680,2.2M,"500,000+",Free,0,Auto & Vehicles
97,AUTO_AND_VEHICLES,4,1288,4.5M,"100,000+",Free,0,Auto & Vehicles
98,BEAUTY,4.7,18900,17M,"500,000+",Free,0,Beauty
99,BEAUTY,4.9,49790,14M,"1,000,000+",Free,0,Beauty
100,BEAUTY,4.7,1150,9.8M,"100,000+",Free,0,Beauty
101,BEAUTY,3.9,1739,21M,"500,000+",Free,0,Beauty
102,BEAUTY,3.9,32090,,"1,000,000+",Free,0,Beauty
103,BEAUTY,4.2,2225,52M,"500,000+",Free,0,Beauty
104,BEAUTY,4.6,4369,14M,"100,000+",Free,0,Beauty
105,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Beauty
106,BEAUTY,4.7,964,9.0M,"50,000+",Free,0,Beauty
107,BEAUTY,4.7,42050,,"1,000,000+",Free,0,Beauty
108,BEAUTY,4.8,104,12M,"10,000+",Free,0,Beauty
109,BEAUTY,4.2,17934,,"1,000,000+",Free,0,Beauty
110,BEAUTY,4.3,601,35M,"100,000+",Free,0,Beauty
111,BEAUTY,4.5,36,6.7M,"10,000+",Free,0,Beauty
112,BEAUTY,4.1,187,30M,"50,000+",Free,0,Beauty
113,BEAUTY,,182,5.7M,"100,000+",Free,0,Beauty
114,BEAUTY,4.2,30,2.9M,"10,000+",Free,0,Beauty
115,BEAUTY,4.5,134,17M,"10,000+",Free,0,Beauty
116,BEAUTY,4.4,74,2.9M,"10,000+",Free,0,Beauty
117,BEAUTY,4,113715,,"10,000,000+",Free,0,Beauty
118,BEAUTY,4.1,3595,,"500,000+",Free,0,Beauty
119,BEAUTY,4.1,9315,2.6M,"1,000,000+",Free,0,Beauty
120,BEAUTY,4.4,75,4.2M,"50,000+",Free,0,Beauty
121,BEAUTY,4.6,38,7.1M,"10,000+",Free,0,Beauty
122,BEAUTY,4.5,26834,57M,"1,000,000+",Free,0,Beauty
123,BEAUTY,,119,3.7M,"50,000+",Free,0,Beauty
124,BEAUTY,3.9,2277,22M,"500,000+",Free,0,Beauty
125,BEAUTY,4.4,2280,24M,"500,000+",Free,0,Beauty
126,BEAUTY,,654,7.4M,"100,000+",Free,0,Beauty
127,BEAUTY,4.6,184,21M,"10,000+",Free,0,Beauty
128,BEAUTY,3.8,9,3.4M,"5,000+",Free,0,Beauty
129,BEAUTY,,77,2.9M,"10,000+",Free,0,Beauty
130,BEAUTY,,35,3.1M,"10,000+",Free,0,Beauty
131,BEAUTY,4,364,6.4M,"100,000+",Free,0,Beauty
132,BEAUTY,4.3,18,3.2M,"5,000+",Free,0,Beauty
133,BEAUTY,4.5,473,8.2M,"100,000+",Free,0,Beauty
134,BEAUTY,,30,9.9M,"10,000+",Free,0,Beauty
135,BEAUTY,4.1,66,2.9M,"10,000+",Free,0,Beauty
136,BEAUTY,3.7,3871,23M,"1,000,000+",Free,0,Beauty
137,BEAUTY,4.7,257,4.6M,"50,000+",Free,0,Beauty
138,BEAUTY,4.2,62,3.1M,"10,000+",Free,0,Beauty
139,BOOKS_AND_REFERENCE,4.6,2914724,,"100,000,000+",Free,0,Books & Reference
140,BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000+",Free,0,Books & Reference
141,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",Free,0,Books & Reference
142,BOOKS_AND_REFERENCE,4.4,577550,,"10,000,000+",Free,0,Books & Reference
143,BOOKS_AND_REFERENCE,4.2,814080,,"100,000,000+",Free,0,Books & Reference
144,BOOKS_AND_REFERENCE,4.5,246315,,"10,000,000+",Free,0,Books & Reference
145,BOOKS_AND_REFERENCE,4.5,454060,,"10,000,000+",Free,0,Books & Reference
146,BOOKS_AND_REFERENCE,4.5,155446,,"10,000,000+",Free,0,Books & Reference
147,BOOKS_AND_REFERENCE,4.5,418,4.2M,"100,000+",Free,0,Books & Reference
148,BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000+",Free,0,Books & Reference
149,BOOKS_AND_REFERENCE,4.5,203130,,"10,000,000+",Free,0,Books & Reference
150,BOOKS_AND_REFERENCE,4.6,1435,2.8M,"500,000+",Free,0,Books & Reference
151,BOOKS_AND_REFERENCE,4.8,116507,5.0M,"1,000,000+",Free,0,Books & Reference
152,BOOKS_AND_REFERENCE,3.9,1433233,,"1,000,000,000+",Free,0,Books & Reference
153,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",Free,0,Books & Reference
154,BOOKS_AND_REFERENCE,4.2,860,13M,"100,000+",Free,0,Books & Reference
155,BOOKS_AND_REFERENCE,4.1,363934,7.1M,"10,000,000+",Free,0,Books & Reference
156,BOOKS_AND_REFERENCE,4.7,967,6.7M,"500,000+",Free,0,Books & Reference
157,BOOKS_AND_REFERENCE,4.2,87873,,"10,000,000+",Free,0,Books & Reference
158,BOOKS_AND_REFERENCE,4.3,17506,17M,"1,000,000+",Free,0,Books & Reference
159,BOOKS_AND_REFERENCE,3.3,1862,19M,"1,000,000+",Free,0,Books & Reference
160,BOOKS_AND_REFERENCE,4.6,2084,6.7M,"500,000+",Free,0,Books & Reference
161,BOOKS_AND_REFERENCE,4.8,47303,21M,"1,000,000+",Free,0,Books & Reference
162,BOOKS_AND_REFERENCE,4.7,19080,,"500,000+",Free,0,Books & Reference
163,BOOKS_AND_REFERENCE,,161,2.7M,"10,000+",Free,0,Books & Reference
164,BOOKS_AND_REFERENCE,4.1,85842,37M,"5,000,000+",Free,0,Books & Reference
165,BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000+",Free,0,Books & Reference
166,BOOKS_AND_REFERENCE,4.1,91615,23M,"5,000,000+",Free,0,Books & Reference
167,BOOKS_AND_REFERENCE,4.6,4620,19M,"500,000+",Free,0,Books & Reference
168,BOOKS_AND_REFERENCE,4.7,21336,23M,"1,000,000+",Free,0,Books & Reference
169,BOOKS_AND_REFERENCE,4.5,26875,73M,"500,000+",Free,0,Books & Reference
170,BOOKS_AND_REFERENCE,3.9,1778,4.9M,"500,000+",Free,0,Books & Reference
171,BOOKS_AND_REFERENCE,4.4,2709,6.8M,"1,000,000+",Free,0,Books & Reference
172,BOOKS_AND_REFERENCE,4.3,64513,,"5,000,000+",Free,0,Books & Reference
173,BOOKS_AND_REFERENCE,4.2,8342,,"10,000,000+",Free,0,Books & Reference
174,BOOKS_AND_REFERENCE,4.5,527,2.9M,"100,000+",Free,0,Books & Reference
175,BOOKS_AND_REFERENCE,4.4,1322,3.5M,"100,000+",Free,0,Books & Reference
176,BOOKS_AND_REFERENCE,3.4,1680,4.0M,"100,000+",Free,0,Books & Reference
177,BOOKS_AND_REFERENCE,4.9,2739,21M,"50,000+",Free,0,Books & Reference
178,BOOKS_AND_REFERENCE,4.6,1065,2.3M,"500,000+",Free,0,Books & Reference
179,BOOKS_AND_REFERENCE,4.4,233757,,"10,000,000+",Free,0,Books & Reference
180,BOOKS_AND_REFERENCE,,2,7.2M,"50,000+",Free,0,Books & Reference
181,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Books & Reference
182,BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0,Books & Reference
183,BOOKS_AND_REFERENCE,4.4,30105,2.1M,"1,000,000+",Free,0,Books & Reference
184,BOOKS_AND_REFERENCE,3.5,156,42M,"500,000+",Free,0,Books & Reference
185,BOOKS_AND_REFERENCE,,114,7.3M,"100,000+",Free,0,Books & Reference
186,BOOKS_AND_REFERENCE,4.4,341157,30M,"10,000,000+",Free,0,Books & Reference
187,BUSINESS,4.1,16129,,"10,000,000+",Free,0,Business
188,BUSINESS,4.3,674730,,"50,000,000+",Free,0,Business
189,BUSINESS,4.4,1254730,,"10,000,000+",Free,0,Business
190,BUSINESS,4.3,85185,29M,"5,000,000+",Free,0,Business
191,BUSINESS,4.3,32584,,"1,000,000+",Free,0,Business
192,BUSINESS,4.1,217730,,"50,000,000+",Free,0,Business
193,BUSINESS,4.4,70991,,"5,000,000+",Free,0,Business
194,BUSINESS,4.3,1002861,35M,"100,000,000+",Free,0,Business
195,BUSINESS,3.9,16589,9.1M,"1,000,000+",Free,0,Business
196,BUSINESS,4.8,148945,25M,"1,000,000+",Free,0,Business
197,BUSINESS,4.5,4458,3.9M,"500,000+",Free,0,Business
198,BUSINESS,4.4,62272,18M,"10,000,000+",Free,0,Business
199,BUSINESS,4,8941,12M,"5,000,000+",Free,0,Business
200,BUSINESS,4.3,46353,21M,"1,000,000+",Free,0,Business
201,BUSINESS,4,1279184,,"50,000,000+",Free,0,Business
202,BUSINESS,4.2,88073,,"10,000,000+",Free,0,Business
203,BUSINESS,4.5,67000,,"1,000,000+",Free,0,Business
204,BUSINESS,4.2,159872,,"10,000,000+",Free,0,Business
205,BUSINESS,4.2,30847,55M,"5,000,000+",Free,0,Business
206,BUSINESS,4.6,188841,3.2M,"5,000,000+",Free,0,Business
207,BUSINESS,4.1,11622,,"5,000,000+",Free,0,Business
208,BUSINESS,4.6,95912,,"5,000,000+",Free,0,Business
209,BUSINESS,3.1,4034,0.023,"100,000+",Free,0,Business
210,BUSINESS,3.9,45964,16M,"1,000,000+",Free,0,Business
211,BUSINESS,4.3,14955,,"1,000,000+",Free,0,Business
212,BUSINESS,4.1,6903,14M,"1,000,000+",Free,0,Business
213,BUSINESS,4.4,31614,37M,"10,000,000+",Free,0,Business
214,BUSINESS,4.1,23055,,"5,000,000+",Free,0,Business
215,BUSINESS,4.1,19023,,"1,000,000+",Free,0,Business
216,BUSINESS,4.5,207372,11M,"5,000,000+",Free,0,Business
217,BUSINESS,4.4,1225,25M,"100,000+",Free,0,Business
218,BUSINESS,4.4,380837,7.3M,"10,000,000+",Free,0,Business
219,BUSINESS,4.3,10600,6.5M,"1,000,000+",Free,0,Business
220,BUSINESS,4.4,74359,25M,"1,000,000+",Free,0,Business
221,BUSINESS,4.6,822,3.1M,"100,000+",Free,0,Business
222,BUSINESS,4.2,80805,,"5,000,000+",Free,0,Business
223,BUSINESS,4.4,2287,1.5M,"1,000,000+",Free,0,Business
224,BUSINESS,4.7,4162,7.5M,"100,000+",Free,0,Business
225,BUSINESS,3.8,14760,8.6M,"50,000,000+",Free,0,Business
226,BUSINESS,3.9,23243,,"5,000,000+",Free,0,Business
227,BUSINESS,,9,1.2M,"100,000+",Free,0,Business
228,BUSINESS,4.3,8978,,"1,000,000+",Free,0,Business
230,BUSINESS,4.4,42492,,"1,000,000+",Free,0,Business
231,BUSINESS,4.7,286897,39M,"10,000,000+",Free,0,Business
232,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Business
233,BUSINESS,4.2,46505,19M,"1,000,000+",Free,0,Business
234,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99,Business
235,BUSINESS,4.8,10295,39M,"100,000+",Paid,$4.99,Business
237,BUSINESS,4.2,296,14M,"50,000+",Free,0,Business
238,BUSINESS,4.3,29313,20M,"5,000,000+",Free,0,Business
240,BUSINESS,4.4,51507,,"5,000,000+",Free,0,Business
241,BUSINESS,4.1,1802,26M,"100,000+",Free,0,Business
242,BUSINESS,3.8,1383,51M,"100,000+",Free,0,Business
243,BUSINESS,4.3,23175,41M,"1,000,000+",Free,0,Business
244,BUSINESS,3.8,5868,20M,"500,000+",Free,0,Business
245,BUSINESS,3.5,2111,,"100,000+",Free,0,Business
246,BUSINESS,4.1,5448,12M,"500,000+",Free,0,Business
247,BUSINESS,4.6,4159,48M,"500,000+",Free,0,Business
248,BUSINESS,4.3,20815,10M,"1,000,000+",Free,0,Business
249,BUSINESS,4.5,78662,22M,"1,000,000+",Free,0,Business
250,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Business
251,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Business
252,BUSINESS,4.6,5800,8.6M,"100,000+",Free,0,Business
253,BUSINESS,4,6989,,"1,000,000+",Free,0,Business
254,BUSINESS,4.2,16422,28M,"1,000,000+",Free,0,Business
255,BUSINESS,4.4,108741,28M,"10,000,000+",Free,0,Business
257,BUSINESS,4,624,9.0M,"100,000+",Free,0,Business
258,BUSINESS,4.2,1661,46M,"100,000+",Free,0,Business
259,BUSINESS,4.2,97702,,"5,000,000+",Free,0,Business
260,BUSINESS,4.1,308,14M,"50,000+",Free,0,Business
262,BUSINESS,3.8,5211,26M,"1,000,000+",Free,0,Business
263,BUSINESS,3.9,1058,23M,"500,000+",Free,0,Business
264,BUSINESS,3.9,78172,,"10,000,000+",Free,0,Business
295,BUSINESS,4.5,413,29M,"10,000+",Free,0,Business
297,COMICS,4.5,1013635,,"10,000,000+",Free,0,Comics
298,COMICS,4.6,24005,4.9M,"500,000+",Free,0,Comics
299,COMICS,4.7,57106,27M,"1,000,000+",Free,0,Comics
300,COMICS,4.7,2249,32M,"500,000+",Free,0,Comics
301,COMICS,4.8,516,12M,"50,000+",Free,0,Comics;Creativity
302,COMICS,3.9,834,15M,"50,000+",Free,0,Comics
303,COMICS,4.1,1010,11M,"50,000+",Free,0,Comics
304,COMICS,4.4,238970,28M,"1,000,000+",Free,0,Comics
305,COMICS,4.6,302,2.2M,"10,000+",Free,0,Comics
306,COMICS,4.5,438,3.4M,"10,000+",Free,0,Comics
307,COMICS,4.7,73,8.3M,"10,000+",Free,0,Comics
308,COMICS,4.4,39,4.3M,"10,000+",Free,0,Comics
309,COMICS,4.5,144,4.7M,"10,000+",Free,0,Comics
310,COMICS,3.9,2181,10M,"100,000+",Free,0,Comics
311,COMICS,3.2,93965,15M,"5,000,000+",Free,0,Comics
312,COMICS,3.2,1446,7.1M,"100,000+",Free,0,Comics
313,COMICS,4.1,12088,21M,"1,000,000+",Free,0,Comics
314,COMICS,4.5,314,6.1M,"100,000+",Free,0,Comics
315,COMICS,4.2,25671,,"1,000,000+",Free,0,Comics
316,COMICS,4.2,15194,15M,"1,000,000+",Free,0,Comics
317,COMICS,3.7,22551,11M,"1,000,000+",Free,0,Comics
318,COMICS,4.5,29839,29M,"1,000,000+",Free,0,Comics
319,COMICS,4.6,279,3.3M,"100,000+",Free,0,Comics
320,COMICS,4.5,564387,,"5,000,000+",Free,0,Comics
321,COMICS,,1330,22M,"50,000+",Free,0,Comics
322,COMICS,4.7,1677,40M,"100,000+",Free,0,Comics
323,COMICS,4.4,757,10M,"10,000+",Free,0,Comics
324,COMICS,3.5,115,9.1M,"10,000+",Free,0,Comics
325,COMICS,3.3,125,4.7M,"5,000+",Free,0,Comics
326,COMICS,4.5,9952,38M,"500,000+",Free,0,Comics
327,COMICS,4.4,18814,,"1,000,000+",Free,0,Comics
328,COMICS,4.2,21,6.7M,"5,000+",Free,0,Comics
329,COMICS,5,15,37M,"1,000+",Free,0,Comics
330,COMICS,4.4,51981,,"5,000,000+",Free,0,Comics
331,COMICS,4.7,3596,7.8M,"10,000+",Free,0,Comics
332,COMICS,4.4,1006,19M,"50,000+",Free,0,Comics
333,COMICS,4.4,5968,5.7M,"1,000,000+",Free,0,Comics
334,COMICS,4.6,4895,35M,"100,000+",Free,0,Comics
335,COMMUNICATION,4,56642847,,"1,000,000,000+",Free,0,Communication
336,COMMUNICATION,4.4,69119316,,"1,000,000,000+",Free,0,Communication
337,COMMUNICATION,4.3,125257,17M,"10,000,000+",Free,0,Communication
338,COMMUNICATION,4.3,9642995,,"1,000,000,000+",Free,0,Communication
339,COMMUNICATION,4.4,1429035,,"100,000,000+",Free,0,Communication
340,COMMUNICATION,4.3,4604324,,"1,000,000,000+",Free,0,Communication
341,COMMUNICATION,4,3419249,,"1,000,000,000+",Free,0,Communication
342,COMMUNICATION,4.3,11334799,,"500,000,000+",Free,0,Communication
343,COMMUNICATION,4.3,158679,8.8M,"5,000,000+",Free,0,Communication
344,COMMUNICATION,4.4,3075028,,"100,000,000+",Free,0,Communication
345,COMMUNICATION,4.3,4187998,16M,"100,000,000+",Free,0,Communication
346,COMMUNICATION,4.3,659395,11M,"100,000,000+",Free,0,Communication
347,COMMUNICATION,4.3,4785892,11M,"500,000,000+",Free,0,Communication
348,COMMUNICATION,4.3,66602,,"50,000,000+",Free,0,Communication
349,COMMUNICATION,4.3,30209,15M,"5,000,000+",Free,0,Communication
350,COMMUNICATION,4,36901,6.6M,"5,000,000+",Free,0,Communication
351,COMMUNICATION,4.5,5149854,,"100,000,000+",Free,0,Communication
352,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0,Communication
353,COMMUNICATION,3.7,99559,,"10,000,000+",Free,0,Communication
354,COMMUNICATION,4.5,437674,,"10,000,000+",Free,0,Communication
355,COMMUNICATION,3.9,13698,5.1M,"10,000,000+",Free,0,Communication
356,COMMUNICATION,4.4,2473509,,"100,000,000+",Free,0,Communication
357,COMMUNICATION,3.6,20769,18M,"1,000,000+",Free,0,Communication
358,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",Free,0,Communication
359,COMMUNICATION,4.2,171031,,"10,000,000+",Free,0,Communication
360,COMMUNICATION,4.4,63543,,"5,000,000+",Free,0,Communication
361,COMMUNICATION,4.1,45487,,"10,000,000+",Free,0,Communication
362,COMMUNICATION,4.4,615381,37M,"10,000,000+",Free,0,Communication
363,COMMUNICATION,4.3,2451083,,"100,000,000+",Free,0,Communication
364,COMMUNICATION,4.2,33053,22M,"5,000,000+",Free,0,Communication
365,COMMUNICATION,4.2,5387333,,"100,000,000+",Free,0,Communication
366,COMMUNICATION,4.4,3648120,3.3M,"100,000,000+",Free,0,Communication
367,COMMUNICATION,4.4,136662,32M,"10,000,000+",Free,0,Communication
368,COMMUNICATION,3.9,42370,37M,"1,000,000+",Free,0,Communication
369,COMMUNICATION,4.2,781810,,"100,000,000+",Free,0,Communication
370,COMMUNICATION,4.4,3128250,,"100,000,000+",Free,0,Communication
371,COMMUNICATION,4.6,2083237,,"500,000,000+",Free,0,Communication
372,COMMUNICATION,4.3,541389,,"10,000,000+",Free,0,Communication
373,COMMUNICATION,4.3,46702,,"1,000,000+",Free,0,Communication
374,COMMUNICATION,4.4,2939,17M,"100,000+",Free,0,Communication
375,COMMUNICATION,3.7,13761,,"10,000,000+",Free,0,Communication
376,COMMUNICATION,4.3,258556,,"10,000,000+",Free,0,Communication
377,COMMUNICATION,3.9,40751,35M,"10,000,000+",Free,0,Communication
378,COMMUNICATION,4.5,17712922,40M,"500,000,000+",Free,0,Communication
379,COMMUNICATION,3.7,25021,61M,"5,000,000+",Free,0,Communication
380,COMMUNICATION,4.3,27187,66M,"5,000,000+",Free,0,Communication
384,COMMUNICATION,4,122498,0.079,"10,000,000+",Free,0,Communication
387,COMMUNICATION,4.1,132014,25M,"10,000,000+",Free,0,Communication
388,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Communication
389,COMMUNICATION,4.2,594728,,"50,000,000+",Free,0,Communication
391,COMMUNICATION,4.1,10484169,,"1,000,000,000+",Free,0,Communication
395,COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0,Communication
397,COMMUNICATION,4.1,28238,17M,"1,000,000+",Free,0,Communication
